id,latitude,longitude,cluster
10600926,39.8544476,32.424074,335
10600927,39.8544476,32.424074,335
10600928,39.971756,32.577353,69
10600937,40.235164,32.68900900000001,280
10600944,40.0016266,32.6309063,35
10600948,39.9934663,32.8728712,46
10600950,39.971252,32.583827,48
10600952,39.9452152,32.5767201,266
10600962,39.9606269,32.5756219,182
10600963,39.9578046,32.5981375,331
10600964,39.976464,32.629898,28
10600968,39.9457152,32.649141,16
10600972,39.9805477,32.7957543,111
10600973,39.9931485,32.5811061,7
10600977,39.957759,32.594039,70
10600978,39.9757457,32.6107881,18
10600983,39.9893272,32.5089856,89
10600985,39.9749865,32.6254277,250
10600990,39.9671348,32.6010342,42
10600993,39.9541069,32.5874328,135
10600995,40.00648,32.6478783,33
10601005,40.0044718,32.5337412,105
10601016,39.9523716,32.5738236,109
10601023,39.950729,32.574854,165
10601028,40.0142057,32.5258491,112
10601029,39.9390912,32.6212902,290
10601033,40.0118708,32.5186223,27
10601036,39.9545377,32.573543,109
10601044,39.98649,32.5819798,118
10601047,39.8509856,32.8564017,190
10601052,39.814912,32.535393,307
10601053,39.99128330000001,32.5738023,86
10601054,39.8404768,32.5347516,299
10601068,39.8544476,32.424074,335
10601076,39.8544476,32.424074,335
10601084,39.9909739,32.661198,20
10601086,39.9445208,32.5961249,326
10601087,39.9888329,32.5824157,118
10601088,39.995803,32.585078,7
10601097,39.9333635,32.8597419,199
10601103,40.0043089,32.8620343,129
10601107,39.939917,32.6474367,54
10601115,39.9508398,32.6631968,275
10601122,39.9670865,32.5980683,56
10601123,39.9651807,32.7875853,149
10601133,39.97853509999999,32.615303,110
10601136,39.9479565,32.594358,77
10601137,39.9552746,32.5769091,132
10601140,39.9664543,32.5943725,71
10601141,39.99663,32.595565,154
10601160,39.976909,32.600673,26
10601162,39.982513,32.583628,85
10601167,39.9633423,32.6136146,216
10601218,39.954296,32.5748437,109
10601233,39.971167,32.5757795,69
10601266,39.9519131,32.5983982,63
10601291,39.9529301,32.5879291,135
10601306,39.95074,32.571685,124
10601312,39.9882959,32.5715365,86
10601313,39.9554698,32.6044957,83
10601314,39.9331183,32.5929946,119
10601327,39.95532,32.581316,132
10601331,39.9454681,32.6316309,150
10601332,39.9519995,32.564424,91
10601335,39.9536862,32.5840839,277
10601339,39.945328,32.5683826,141
10601345,39.9496374,32.5732128,165
10601350,39.98272619999999,32.6419486,298
10601351,39.9300799,32.648702,117
10601354,40.0168947,32.5217121,274
10601357,39.9547258,32.5641411,76
10601359,39.9680725,32.5874432,48
10601363,39.9513042,32.6079616,146
10601364,39.9490444,32.5944295,77
10601366,39.9706343,32.6381055,17
10601368,39.9718524,32.5845637,48
10601370,39.951398,32.570141,124
10601371,39.8544476,32.424074,335
10601376,39.9590813,32.5928166,70
10601377,39.9754552,32.6472337,43
10601383,39.9898211,32.6163328,60
10601397,39.934054,32.6137112,245
10601399,39.9840521,32.8421689,9
10601401,40.0179111,32.5347184,34
10601402,39.973761,32.604385,26
10601403,39.9494032,32.6421635,113
10601405,39.9448789,32.5955512,326
10601406,39.9488191,32.5918678,163
10601411,39.8571568,32.7237843,177
10601413,39.9938663,32.5561521,29
10601414,39.9338132,32.5955483,119
10601419,39.9656735,32.5840709,167
10601428,39.9591793,32.5682979,78
10601434,39.9691058,32.5874231,48
10601441,39.9786085,32.6456607,62
10601443,39.968552,32.598172,56
10601445,39.9573033,32.59129,70
10601451,40.012021,32.512003,5
10601452,39.9297884,32.6338239,49
10601453,39.947295,32.6562499,16
10601454,39.9810747,32.6062613,140
10601459,40.0008111,32.5324387,166
10601468,40.003445,32.529444,105
10601469,40.0165644,32.5402558,34
10601485,39.951987,32.6016822,63
10601490,39.9428298,32.6424051,101
10601491,39.9526395,32.582299,277
10601492,39.9796736,32.591001,138
10601494,39.965497,32.5737284,73
10601506,39.9721682,32.6141647,18
10601508,39.9471695,32.6261261,253
10601510,39.9447982,32.8912256,66
10601512,39.9529901,32.5621562,91
10601516,39.9931485,32.5811061,7
10601517,39.8544476,32.424074,335
10601519,39.9352899,32.6546339,155
10601522,39.9712346,32.5572164,271
10601525,39.950895,32.667566,275
10601530,39.9832323,32.5796924,85
10601532,39.9683658,32.5683826,248
10601539,39.9890531,32.618363,60
10601542,39.9471395,32.6480112,58
10601543,39.9581242,32.6006082,83
10601554,39.9591562,32.5768528,182
10601556,39.9896991,32.5867134,118
10601568,39.957323,32.8750852,291
10601569,39.9672597,32.6438754,17
10601570,39.9514959,32.6026909,63
10601571,39.9709327,32.5781618,69
10601574,39.9531964,32.5992437,63
10601576,39.948229,32.5943479,77
10601580,39.9992013,32.601776,197
10601583,39.9861069,32.5736932,126
10601593,39.9675065,32.5898615,142
10601602,39.95369549999999,32.6327306,162
10601612,40.0016626,32.6012209,273
10601613,39.9283587,32.5803981,321
10601615,39.963864,32.6525864,3
10601625,39.984108,32.599286,334
10601626,39.8544476,32.424074,335
10601629,39.9633344,32.5890764,80
10601637,39.9861069,32.5736932,126
10601640,39.9329629,32.6194926,84
10601643,39.994842,32.5167192,25
10601645,40.0092277,32.8439057,4
10601652,39.9426466,32.6045589,186
10601667,39.941127,32.618488,98
10601668,40.0047349,32.526925,105
10601676,39.9597148,32.5781877,182
10601683,39.9504032,32.6353151,212
10601684,40.0006145,32.5283159,166
10601692,39.9970057,32.5183452,25
10601695,39.9858914,32.5622349,252
10601697,39.9358634,32.6613661,173
10601698,39.987992,32.5863046,118
10601701,39.9862891,32.5988413,334
10601708,39.9938394,32.5563896,29
10601714,39.9667777,32.5991063,56
10601716,39.9387343,32.5975302,14
10601717,39.9626002,32.7243839,108
10601718,39.8813201,32.6983711,233
10601735,39.9683658,32.5683826,248
10601736,39.9133797,32.77177,133
10601737,39.9333635,32.8597419,199
10601742,39.9851785,32.5638553,252
10601743,40.0119902,32.5356719,57
10601744,39.9496835,32.6436971,113
10601746,39.970178,32.590635,142
10601750,39.93413750000001,32.6213448,84
10601755,40.0189527,32.5264676,12
10601756,39.8346129,32.6051351,220
10601765,39.9563271,32.5787513,132
10601766,39.8570265,32.8314103,223
10601773,39.9968571,32.653,244
10601774,39.9304412,32.6094753,72
10601777,39.94460060000001,32.5853469,226
10601780,39.9506252,32.6496231,58
10601787,39.9854297,32.6276903,243
